import time: self [us] | cumulative | imported package
import time:        72 |         72 |       psycopg
import time:       289 |        289 |       psycopg2.sql
import time:       139 |        139 |         psycopg2._ipaddress
import time:      1601 |       1739 |       psycopg2.extras
import time:       461 |       2560 |     django.db.backends.postgresql.psycopg_any
import time:       138 |        138 |       django.db.backends.base.client
import time:       211 |        348 |     django.db.backends.postgresql.client
import time:       248 |        248 |       django.db.backends.base.creation
import time:       207 |        454 |     django.db.backends.postgresql.creation
import time:       211 |        211 |       django.db.backends.base.features
import time:       279 |        489 |     django.db.backends.postgresql.features
import time:       554 |        554 |       django.db.backends.base.introspection
import time:       531 |       1085 |     django.db.backends.postgresql.introspection
import time:       385 |        385 |     django.db.backends.postgresql.operations
import time:       352 |        352 |         django.db.backends.ddl_references
import time:       730 |       1082 |       django.db.backends.base.schema
import time:       234 |       1316 |     django.db.backends.postgresql.schema
import time:      1455 |      19324 |   django.contrib.auth.base_user
import time:       175 |        175 |   django.contrib.auth.validators
import time:       157 |        157 |   django.utils.translation.reloader
import time:       391 |        391 |   django.contrib.sessions.base_session
import time:      1565 |       1565 |   accounts.models
import time:       178 |        178 |     django.contrib.auth.tokens
import time:       127 |        127 |       django.contrib.sites
import time:       250 |        250 |       django.contrib.sites.requests
import time:       207 |        583 |     django.contrib.sites.shortcuts
import time:      1844 |       2604 |   django.contrib.auth.forms
import time:       608 |        608 |   django.contrib.contenttypes.fields
import time:       196 |        196 |   django.contrib.contenttypes.forms
import time:       172 |        172 |   shipment.signals
import time:       276 |        276 |   django.contrib.auth.backends
import time:       842 |        842 |   django.contrib.auth.views
import time:       111 |        111 |     django.contrib.sessions.backends
import time:       432 |        542 |   django.contrib.sessions.backends.base
import time:       224 |        224 |   django.contrib.sessions.exceptions
import time:       160 |        160 |   __future__
import time:       163 |        163 |       wsgiref
import time:       275 |        437 |     wsgiref.headers
import time:       204 |        204 |     wsgiref.util
import time:       174 |        174 |     whitenoise.media_types
import time:       391 |        391 |     whitenoise.responders
import time:       128 |        128 |     whitenoise.string_utils
import time:      1580 |       2911 |   whitenoise.base
import time:       396 |        396 |   django.contrib.staticfiles.storage
import time:     29988 |     314847 | Inventory_Management_System.wsgi
import time:        51 |         51 | gc
